title,price,description,url
ashvagandha,200.0,help boost immunity and overall endurance fact derived from ayurveda text and modern research ashvagandha build strength and immunity by improving the overall capacity of the body to fight infection and disease,https://himalayawellness.in/collections/all/products/ashvagandha
gokshura,220.0,improves vigour,https://himalayawellness.in/collections/all/products/gokshura
tentex royal,225.0,relief stress improves performance himalaya tentex royal increase energy improves performance and uplift mood,https://himalayawellness.in/collections/all/products/tentex-royal
tentex forte,90.0,rejuvenate elevate your performance himalaya tentex forte help increase strength improves power and stamen,https://himalayawellness.in/collections/all/products/tentex-forte
complete care toothpaste,55.0,healthy gum strong teeth fresh breath himalaya complete care toothpaste is an advanced herbal formulation that not only protects from germ but also ha antioxidant that help protect teeth against free radical and help maintain gum in good health,https://himalayawellness.in/collections/all/products/complete-care-toothpaste
ayurveda clear skin soap,67.0,ayurvedic oil bath now in soap ayurveda clear skin soap ha unique formulation that nourishes skin and help improve the complexion,https://himalayawellness.in/collections/all/products/ayurveda-clear-skin-soap
purifying neem face wash,205.0,clinically proven pimple free healthy skin expert himalaya purifying neem face wash is soap free formulation that clean impurity and help clear pimple,https://himalayawellness.in/collections/all/products/purifying-neem-face-wash
dee cramp,45.0,quick dissolve quick relief relief from monthly cramp and discomfort dissolve in second doe not require water quick onset of action start acting in minute,https://himalayawellness.in/collections/all/products/q-dee-cramps
himalaya ayurveda sandal glow soap,60.0,ayurveda based pure sandalwood oil in soap for nourished glowing skin,https://himalayawellness.in/collections/all/products/himalaya-ayurveda-sandal-glow-soap
confido,170.0,give the confidence you need himalaya confido reduces anxiety improves performance and increase confidence,https://himalayawellness.in/collections/all/products/confido
neem turmeric soap,54.0,clean and purifies skin himalaya neem turmeric soap blend together all the goodness of neem turmeric and lemon,https://himalayawellness.in/collections/all/products/neem-turmeric-soap
anti hair fall shampoo,75.0,reduces hair fall make hair healthy himalaya anti hair fall shampoo is breakthrough in formula that help reduces hair fall and provides nourishment to hair,https://himalayawellness.in/collections/all/products/anti-hair-fall-shampoo
himalaya gasex fizz,9.0,instant relief from acidity quick relief from gas and indigestion,https://himalayawellness.in/collections/all/products/himalaya-gasex-fizz
himcolin gel,210.0,himcolin gel,https://himalayawellness.in/collections/all/products/himcolin-gel
ayurslim capsule,280.0,keep fit naturally,https://himalayawellness.in/collections/all/products/ayurslim-capsules
rumalaya active spray,165.0,start relieving pain in minute,https://himalayawellness.in/products/rumalaya-active-spray
cherry shine lip care,160.0,naturally glossy soft and nourished lip himalaya cherry shine lip care is luxurious lip balm enriched with natural color and antioxidant such vitamin the sweet cherry oil and nourishing ingredient in the product help in caring for and protecting your lip from environmental damage and aid in enhancing natural lip color the lip balm moisture lock formula help keep your lip soft and supple,https://himalayawellness.in/products/cherry-shine-lip-care
berry shine lip care,160.0,naturally glossy soft and nourished lip himalaya berry shine lip care is luxurious lip balm enriched with natural color and antioxidant such vitamin the berry oil complex rich blend of blackberry cranberry and blueberry seed oil and nourishing ingredient help in caring for and protecting your lip from environmental damage and aid in enhancing natural lip color the lip balm moisture lock formula help keep your lip soft and supple,https://himalayawellness.in/products/berry-shine-lip-care
aloe vera refreshing body gel,350.0,moisturizes cool and soothes skin himalaya aloe vera refreshing body gel is formulated with the goodness of aloe vera gel our product moisturizes cool and soothes skin giving fresh soft supple and non oily feel the body gel dermatologically tested is light and non greasy moisturizer for daily use there are no artificial color and the product is free from parabens phthalates and methylisothiazolinone mit you can use it for gentle massage to refresh your skin or to soothe dry irritated or sunburnt skin,https://himalayawellness.in/products/aloe-vera-refreshing-body-gel
scavon vet cream,65.0,topical antimicrobial himalaya scavon vet cream is an anti infective broad spectrum antimicrobial and antibacterial wound healer that promotes wound healing by rapid collagenization and epithelialization of tissue,https://himalayawellness.in/products/scavon-vet-cream
crème cleansing baby bar,150.0,gentle care for newborn and baby with sensitive skin himalaya crème cleansing baby bar is mild and gentle cleansing bar for baby which is formulated with skin friendly ph of to ensure that baby delicate skin remains healthy it consists of blend of herb oil butter complex that help lock in moisture and keep baby skin soft smooth and moisturized,https://himalayawellness.in/products/creme-cleansing-baby-bar
himalaya vegecort cream,100.0,for eczema relief,https://himalayawellness.in/products/himalaya-vegecort-cream
himalaya active fresh miswak mouthwash,115.0,for healthy gum no alcohol no burning sensation himalaya active fresh miswak mouthwash is an advanced herbal formulation with the goodness of miswak and menthol it prevents plaque buildup and mouth odor for healthy gum strong teeth and long lasting fresh breath naturally,https://himalayawellness.in/products/himalaya-active-fresh-miswak-mouthwash
ashvagandha,200.0,help boost immunity and overall endurance fact derived from ayurveda text and modern research ashvagandha build strength and immunity by improving the overall capacity of the body to fight infection and disease,https://himalayawellness.in/products/ashvagandha
gokshura,220.0,improves vigour,https://himalayawellness.in/products/gokshura
